,team,abr,line,tor,hca,sportsref,sos
133,Kennesaw State,KENN,Kennesaw St.,Kennesaw St.,Kennesaw St,Kennesaw State,Kennesaw St
134,Kent State,KENT,Kent St.,Kent St.,Kent St,Kent State,Kent St
135,Kentucky,UK,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky
136,LSU,LSU,LSU,LSU,Louisiana State,LSU,LSU
137,La Salle,LASAL,La Salle,La Salle,La Salle,La Salle,La Salle
138,Lafayette,LAFAY,,Lafayette,Lafayette,Lafayette,Lafayette
139,Lamar,LAMAR,Lamar,Lamar,Lamar,Lamar,Lamar
140,Le Moyne,MOYNE,,Le Moyne,,Le Moyne,Le Moyne
141,Lehigh,LEHI,,Lehigh,Lehigh,Lehigh,Lehigh
142,Liberty,LBRTY,Liberty,Liberty,Liberty,Liberty,Liberty
143,Lindenwood,LIND,Lindenwood,Lindenwood,,Lindenwood,Lindenwood
144,Lipscomb,LIP,,Lipscomb,Lipscomb,Lipscomb,Lipscomb
145,Little Rock,UALR,Little Rock,Little Rock,Arkansas Little Rock,Little Rock,AR Lit Rock
146,Long Beach State,LBSU,LBSU,Long Beach St.,Long Beach St,Long Beach State,Lg Beach St
147,Long Island,LIU,LIU,LIU Brooklyn,LIU Brooklyn,LIU,LIU
148,Longwood,LONG,Longwood,Longwood,,Longwood,Longwood
149,Louisiana,LA,Louisiana,Louisiana Lafayette,Louisiana Lafayette,Louisiana,Louisiana
150,Louisiana Tech,LATCH,La. Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,LA Tech
151,Louisiana-Monroe,ULM,UL-Monroe,Louisiana Monroe,Louisiana Monroe,Louisiana-Monroe,UL Monroe
152,Louisville,LVILL,Louisville,Louisville,Louisville,Louisville,Louisville
153,Loyola (IL),L-IL,,Loyola MD,Loyola Chicago,Loyola (IL),Loyola-Chi
154,Loyola (MD),L-MD,,Loyola Chicago,Loyola Chicago,Loyola (MD),Loyola-MD
155,Loyola Marymount,LOYMR,,Loyola Marymount,Loyola Marymount,Loyola Marymount,Loyola Mymt
156,Maine,MAINE,Maine,Maine,Maine,Maine,Maine
157,Manhattan,MAN,Manhattan,Manhattan,Manhattan,Manhattan,Manhattan
158,Marist,MRST,Marist,Marist,Marist,Marist,Marist
159,Marquette,MARQ,Marquette,Marquette,Marquette,Marquette,Marquette
160,Marshall,MARSH,Marshall,Marshall,Marshall,Marshall,Marshall
161,Maryland,UMD,Maryland,Maryland,Maryland,Maryland,Maryland
162,Maryland-Eastern Shore,UMES,,Maryland Eastern Shore,Maryland E Shore,Maryland-Eastern Shore,Maryland ES
163,Massachusetts,UMass,Massachusetts,Massachusetts,Massachusetts,UMass,U Mass
164,McNeese State,MCNST,McNeese St.,McNeese St.,McNeese St,McNeese State,McNeese St
165,Memphis,MEMP,Memphis,Memphis,Memphis,Memphis,Memphis
166,Mercer,MER,Mercer,Mercer,Mercer,Mercer,Mercer
167,Merrimack College,MERRI,Merrimack,Merrimack,,Merrimack,Merrimack
168,Miami (FL),UMFL,Miami,Miami FL,Miami Florida,Miami (FL),Miami
169,Miami (OH),MIAMI,Miami (Ohio),Miami OH,Miami OH,Miami (OH),Miami (OH)
170,Michigan,MICH,Michigan,Michigan,Michigan,Michigan,Michigan
171,Michigan State,MCHST,Michigan St.,Michigan St.,Michigan St,Michigan State,Michigan St
172,Middle Tennessee State,MTSU,,Middle Tennessee St.,Middle Tennessee St,Middle Tennessee,Middle Tenn
173,Milwaukee,UWM,Milwaukee,Milwaukee,Wis Milwaukee,Milwaukee,WI-Milwkee
174,Minnesota,MINN,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota
175,Mississippi State,MISST,Miss. St.,Mississippi St.,Mississippi St,Mississippi State,Miss State
176,Mississippi Valley State,MVSU,Miss Valley St.,Mississippi Valley St.,Mississippi Valley State,Mississippi Valley State,Miss Val St
177,Missouri,MZZOU,,Missouri,Missouri,Missouri,Missouri
178,Missouri State,MZZST,Missouri St.,Missouri St.,Missouri St,Missouri State,Missouri St
179,Monmouth,MONM,Monmouth,Monmouth,Monmouth NJ,Monmouth,Monmouth
180,Montana,MONT,Montana,Montana,Montana,Montana,Montana
181,Montana State,MTSTU,Montana St.,Montana St.,Montana St,Montana State,Montana St
182,Morehead State,MRHD,Morehead St.,Morehead St.,Morehead St,Morehead State,Morehead St
183,Morgan State,MORST,Morgan St.,Morgan St.,Morgan St,Morgan State,Morgan St
184,Mount St. Mary,MSMU,Mt St Mary's,Mount St. Mary's,Mount St Marys,Mount St. Mary's,Mt St Marys
185,Murray State,MRRY,Murray St.,Murray St.,Murray St,Murray State,Murray St
186,N.J.I.T.,NJIT,,NJIT,,NJIT,NJIT
187,NC State,NCST,NC State,NC St.,NC State,NC State,NC State
188,Navy,USNA,Navy,Navy,Navy,Navy,Navy
189,Nebraska,UNL,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
190,Nevada,UNR,Nevada,Nevada,Nevada,Nevada,Nevada
191,New Hampshire,NEWHA,New Hamp.,New Hampshire,New Hampshire,New Hampshire,N Hampshire
192,New Mexico,UNM,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico
193,New Mexico State,NMSU,N. Mex. St.,New Mexico St.,New Mexico St,New Mexico State,N Mex State
194,New Orleans,NEWOR,New Orleans,New Orleans,,New Orleans,New Orleans
195,Niagara,NIAG,Niagara,Niagara,Niagara,Niagara,Niagara
196,Nicholls State,NICH,Nicholls St.,Nicholls St.,Nicholls State,Nicholls State,Nicholls
197,Norfolk State,NORF,Norfolk St.,Norfolk St.,Norfolk State,Norfolk State,Norfolk St
198,North Alabama,UNA,N. Alabama,North Alabama,,North Alabama,N Alabama
199,North Carolina,UNC,N. Carolina,North Carolina,North Carolina,UNC,N Carolina
200,North Carolina A&amp;T,NC A&T,NC A&T,North Carolina A&T,NoCarolina AT,North Carolina A&T,NC A&T
201,North Carolina Central,NCCU,NC Central,North Carolina Central,,North Carolina Central,NC Central
202,North Dakota,UND,North Dakota,North Dakota,,North Dakota,North Dakota
203,North Dakota State,NDSU,N. Dak. St.,North Dakota St.,North Dakota State,North Dakota State,N Dakota St
204,North Florida,UNF,North Florida,North Florida,North Florida,North Florida,N Florida
205,North Texas,UNT,North Texas,North Texas,North Texas,North Texas,North Texas
206,Northeastern,NEU,,Northeastern,Northeastern,Northeastern,Northeastrn
207,Northern Arizona,NAU,,Northern Arizona,Northern Arizona,Northern Arizona,N Arizona
208,Northern Colorado,NOCOL,N. Colorado,Northern Colorado,Northern Colorado,Northern Colorado,N Colorado
209,Northern Illinois,NIU,N. Illinois,Northern Illinois,Northern Illinois,Northern Illinois,N Illinois
210,Northern Iowa,UNI,N. Iowa,Northern Iowa,Northern Iowa,Northern Iowa,N Iowa
211,Northern Kentucky,NKU,N. Kentucky,Northern Kentucky,,Northern Kentucky,N Kentucky
212,Northwestern,NWU,Northwestern,Northwestern,Northwestern,Northwestern,Northwestern
213,Northwestern State,NSU,Northwestern St.,Northwestern St.,Northwestern St,Northwestern State,NW State
214,Notre Dame,ND,,Notre Dame,Notre Dame,Notre Dame,Notre Dame
215,Oakland,OAKL,Oakland,Oakland,Oakland,Oakland,Oakland
216,Ohio,OHIO,,Ohio,Ohio,Ohio,Ohio
217,Ohio State,OSU,,Ohio St.,Ohio St,Ohio State,Ohio St
218,Oklahoma,OKLA,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma
219,Oklahoma State,OKST,,Oklahoma St.,Oklahoma St,Oklahoma State,Oklahoma St
220,Old Dominion,ODU,Old Dominion,Old Dominion,Old Dominion,Old Dominion,Old Dominion
221,Ole Miss,MISS,Ole Miss,Mississippi,Mississippi,Ole Miss,Mississippi
222,Omaha,OMAHA,,Nebraska Omaha,,Omaha,Neb Omaha
223,Oral Roberts,ORU,Oral Roberts,Oral Roberts,Oral Roberts,Oral Roberts,Oral Roberts
224,Oregon,OREG,Oregon,Oregon,Oregon,Oregon,Oregon
225,Oregon State,ORST,Oregon St.,Oregon St.,Oregon St,Oregon State,Oregon St
226,Pacific,PACI,,Pacific,Pacific,Pacific,Pacific
227,Penn State,PENST,Penn St.,Penn St.,Penn St,Penn State,Penn St
228,Pennsylvania,PENN,Penn,Penn,Pennsylvania,Penn,U Penn
229,Pepperdine,PEPP,,Pepperdine,Pepperdine,Pepperdine,Pepperdine
230,Pittsburgh,PITT,Pittsburgh,Pittsburgh,Pittsburgh,Pitt,Pittsburgh
231,Portland,UP,Portland,Portland,Portland,Portland,Portland
232,Portland State,PORTL,Portland St.,Portland St.,Portland St,Portland State,Portland St
233,Prairie View A&amp;M,PVAMU,Prairie View,Prairie View A&M,Prairie View AM,Prairie View,Prairie View
234,Presbyterian,PRSBY,,Presbyterian,Presbyterian,Presbyterian,Presbyterian
235,Princeton,PRIN,Princeton,Princeton,Princeton,Princeton,Princeton
236,Providence,PROV,Providence,Providence,Providence,Providence,Providence
237,Purdue,PURD,Purdue,Purdue,Purdue,Purdue,Purdue
238,Queens University,QUC,Queens,Queens,,Queens (NC),Queens
239,Quinnipiac,QUIN,Quinnipiac,Quinnipiac,Quinnipiac,Quinnipiac,Quinnipiac
