,team,abr,line,tor,hca,sportsref,sos
324,UNC Greensboro,UNCG,UNCG,UNC Greensboro,NC Greensboro,UNC Greensboro,NC-Grnsboro
325,UNC Wilmington,UNCW,,UNC Wilmington,NC Wilmington,UNC Wilmington,NC-Wilmgton
326,UNLV,UNLV,UNLV,UNLV,UNLV,UNLV,UNLV
327,USC,USC,USC,USC,Southern California,USC,USC
328,USC Upstate,USCU,,USC Upstate,,USC Upstate,SC Upstate
329,UTEP,UTEP,,UTEP,Texas El Paso,UTEP,TX El Paso
330,Utah,U of U,Utah,Utah,Utah,Utah,Utah
331,Utah State,USU,,Utah St.,Utah St,Utah State,Utah St
332,Utah Tech,UTECH,Utah Tech,Utah Tech,,Utah Tech,Utah Tech
333,Utah Valley,UVU,Utah Valley,Utah Valley,,Utah Valley,Utah Valley
334,VCU,VCU,VCU,VCU,VCU,VCU,VCU
335,Valparaiso,VAL,Valparaiso,Valparaiso,Valparaiso,Valparaiso,Valparaiso
336,Vanderbilt,VANDY,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt,Vanderbilt
337,Vermont,UVM,Vermont,Vermont,Vermont,Vermont,Vermont
338,Villanova,VILL,Villanova,Villanova,Villanova,Villanova,Villanova
339,Virginia,UVA,,Virginia,Virginia,Virginia,Virginia
340,Virginia Military,VMI,VMI,VMI,VMI,VMI,VMI
341,Virginia Tech,VT,,Virginia Tech,Virginia Tech,Virginia Tech,VA Tech
342,Wagner,WAGNR,Wagner,Wagner,Wagner,Wagner,Wagner
343,Wake Forest,WF,,Wake Forest,Wake Forest,Wake Forest,Wake Forest
344,Washington,UWASH,Washington,Washington,Washington,Washington,Washington
345,Washington State,WSU,Washington St.,Washington St.,Washington St,Washington State,Wash State
346,Weber State,WEBER,Weber St.,Weber St.,Weber St,Weber State,Weber St
347,West Virginia,WVU,West Virginia,West Virginia,West Virginia,West Virginia,W Virginia
348,Western Carolina,WCU,,Western Carolina,Western Carolina,Western Carolina,W Carolina
349,Western Illinois,WIU,W. Illinois,Western Illinois,Western Illinois,Western Illinois,W Illinois
350,Western Kentucky,WKU,W. Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,W Kentucky
351,Western Michigan,WMY,W. Michigan,Western Michigan,Western Michigan,Western Michigan,W Michigan
352,Wichita State,WICHI,,Wichita St.,Wichita St,Wichita State,Wichita St
353,William &amp; Mary,W&M,,William & Mary,William Mary,William & Mary,Wm & Mary
354,Winthrop,WIN,Winthrop,Winthrop,Winthrop,Winthrop,Winthrop
355,Wisconsin,UWISC,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin
356,Wofford,WOFF,,Wofford,Wofford,Wofford,Wofford
357,Wright State,WRST,Wright St.,Wright St.,Wright St,Wright State,Wright St
358,Wyoming,UWYOM,,Wyoming,Wyoming,Wyoming,Wyoming
359,Xavier,XAV,Xavier,Xavier,Xavier,Xavier,Xavier
360,Yale,YALE,Yale,Yale,Yale,Yale,Yale
361,Youngstown State,YSU,,Youngstown St.,Youngstown St,Youngstown State,Youngs St
