,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
190,Stetson,26,40.2,71.5,26.7,61.8,0.432,7.9,23.9,0.331,10.2,14.5,0.7,9.3,22.0,31.3,14.3,5.9,2.7,9.1,15.7
191,Portland State,25,40.2,71.5,25.6,58.1,0.441,7.7,21.1,0.364,12.6,18.4,0.688,8.2,25.2,33.5,13.7,5.8,3.9,12.2,16.5
192,Sam Houston State,24,40.4,71.4,25.3,57.7,0.438,7.2,22.3,0.321,13.7,19.7,0.693,8.2,24.7,32.9,13.7,7.0,4.3,13.2,17.5
193,Lindenwood,25,40.2,71.4,24.5,54.2,0.452,7.7,21.0,0.366,14.7,20.6,0.713,8.1,24.9,33.0,12.7,6.2,3.6,12.0,18.7
194,Stephen F. Austin,24,40.8,71.4,22.7,54.8,0.413,7.5,20.1,0.371,18.6,25.8,0.719,8.9,20.3,29.2,12.0,8.3,3.5,16.8,20.8
195,Binghamton,23,40.2,71.3,25.1,60.1,0.418,7.5,23.0,0.327,13.5,19.2,0.704,7.6,22.9,30.5,11.2,7.0,4.3,8.9,17.2
196,UC Riverside,25,40.0,71.2,25.3,55.6,0.455,6.6,18.4,0.359,14.0,19.2,0.729,7.2,26.0,33.2,14.0,4.7,3.7,10.6,16.2
197,Harvard,20,40.3,71.2,26.4,62.2,0.425,8.2,25.3,0.322,10.3,15.4,0.668,10.0,23.7,33.7,13.0,6.5,3.5,10.0,17.0
198,Fort Wayne,25,40.2,71.2,25.7,58.2,0.442,6.3,20.9,0.303,13.4,19.0,0.709,9.0,26.5,35.5,12.8,5.6,2.9,16.6,17.4
199,Fairfield,24,40.0,71.2,26.5,59.1,0.448,6.8,21.2,0.323,11.3,16.1,0.705,10.0,23.2,33.2,13.5,6.2,2.9,12.8,16.0
200,Northern Iowa,25,40.3,71.1,24.9,56.0,0.445,8.0,23.0,0.345,13.3,17.2,0.776,6.6,24.6,31.1,10.8,6.2,3.4,11.0,17.2
201,Miami (OH),24,40.2,71.1,25.1,58.0,0.433,6.5,21.1,0.308,14.3,19.6,0.73,8.8,23.9,32.8,11.9,6.3,3.3,11.7,17.9
202,UNC Wilmington,24,40.3,71.1,25.5,57.6,0.442,7.5,21.5,0.35,12.7,18.3,0.691,8.5,23.4,32.0,11.4,3.9,2.9,11.5,18.5
203,UNC Greensboro,25,40.4,71.1,23.8,58.3,0.409,8.7,26.6,0.326,14.7,20.1,0.732,8.5,22.1,30.6,11.6,5.8,2.9,10.6,16.0
204,Air Force,24,40.4,71.0,24.5,52.5,0.467,7.6,20.0,0.38,14.5,19.6,0.737,8.2,21.4,29.6,12.9,5.9,3.0,11.8,16.5
205,North Carolina,25,40.2,71.0,25.6,62.2,0.411,6.9,22.8,0.304,13.0,17.5,0.744,7.1,23.2,30.3,10.3,5.7,3.8,10.5,19.0
206,Chattanooga,25,40.4,71.0,25.6,61.2,0.418,8.6,25.9,0.331,11.2,17.0,0.659,8.8,22.0,30.8,12.3,6.3,2.7,10.4,15.8
207,St. John's,25,39.9,71.0,24.7,57.8,0.427,6.8,20.5,0.333,14.8,20.1,0.734,9.7,22.0,31.7,13.0,6.6,3.1,12.3,15.8
208,Loyola Marymount,24,40.0,71.0,26.0,58.5,0.444,5.5,17.3,0.32,13.5,18.2,0.741,7.8,21.8,29.6,12.7,6.0,3.7,8.7,16.3
209,Central Michigan,24,40.8,71.0,25.1,59.3,0.423,7.6,24.4,0.312,13.1,17.8,0.737,9.8,24.0,33.8,13.5,5.8,3.0,11.2,15.5
210,Missouri State,25,40.7,70.9,25.8,62.5,0.413,7.6,23.3,0.325,11.8,16.4,0.717,7.8,23.0,30.8,12.1,6.5,3.2,8.8,16.8
211,Mount St. Mary's,24,40.5,70.9,24.8,57.8,0.429,6.5,19.3,0.34,14.8,19.4,0.762,8.5,20.9,29.4,12.1,9.0,2.9,12.5,15.0
212,TCU,24,40.7,70.9,25.5,57.7,0.441,6.7,20.3,0.329,13.3,19.2,0.692,8.7,20.9,29.5,14.5,6.8,3.5,14.7,17.8
213,Ball State,24,40.4,70.9,26.0,57.6,0.451,6.8,20.2,0.338,12.1,17.1,0.708,7.3,22.0,29.3,12.2,6.3,3.1,11.0,19.2
214,Nebraska,25,40.2,70.8,25.4,63.2,0.402,8.8,26.6,0.332,11.3,16.4,0.689,10.8,23.2,34.1,13.6,6.6,3.6,11.0,16.3
215,Louisiana,25,40.0,70.8,25.1,55.4,0.453,4.6,17.6,0.261,16.0,22.5,0.71,9.1,22.0,31.2,11.1,6.5,3.8,14.0,15.8
216,Wake Forest,24,40.3,70.7,25.6,59.8,0.429,6.0,19.1,0.317,13.4,18.1,0.74,7.7,23.2,30.8,10.5,5.9,3.5,11.4,17.9
217,Grambling State,24,40.0,70.7,25.1,56.2,0.447,6.7,18.9,0.352,13.8,18.8,0.733,9.5,22.0,31.5,14.2,7.0,2.8,12.6,15.8
218,New Mexico,25,39.9,70.6,24.9,58.6,0.424,6.2,20.5,0.305,14.6,20.4,0.714,8.6,23.4,32.0,13.3,5.7,4.2,14.5,18.3
219,NC State,24,40.3,70.6,24.5,57.1,0.429,6.9,20.4,0.339,14.7,20.7,0.71,9.2,25.9,35.0,12.0,5.0,3.2,12.4,16.0
220,Youngstown State,26,40.2,70.6,25.5,61.3,0.416,7.7,22.6,0.339,11.9,17.2,0.692,8.5,22.1,30.6,13.8,6.1,2.8,11.8,16.8
221,Winthrop,26,41.0,70.5,24.2,58.5,0.414,7.5,25.0,0.301,14.5,19.3,0.75,10.4,21.9,32.3,12.1,6.8,4.2,13.3,21.8
222,UMKC,26,40.8,70.4,24.0,53.7,0.447,6.2,18.7,0.329,16.2,22.7,0.713,7.0,21.7,28.7,11.9,6.3,2.6,12.0,17.0
223,Southern,24,40.4,70.4,23.5,54.0,0.436,6.4,20.8,0.309,16.9,24.0,0.702,9.1,24.5,33.6,13.0,6.5,3.3,17.0,17.8
224,Oklahoma State,24,40.3,70.4,26.3,58.0,0.453,6.2,18.2,0.342,11.6,15.9,0.728,7.8,23.6,31.4,12.0,7.8,3.0,11.5,16.5
225,Mercer,25,40.0,70.4,24.0,54.5,0.439,6.4,18.8,0.338,16.1,22.2,0.723,8.4,23.9,32.3,10.7,6.8,3.1,12.2,15.2
226,Illinois,24,40.3,70.3,26.6,64.1,0.415,5.7,17.7,0.323,11.5,16.4,0.7,8.5,21.8,30.3,10.8,5.8,3.2,8.9,17.9
227,Baylor,24,41.0,70.3,25.6,57.0,0.45,6.6,20.0,0.331,12.4,17.3,0.716,7.6,18.8,26.4,12.9,6.8,3.3,12.1,19.3
228,The Citadel,25,40.2,70.2,26.6,59.4,0.447,8.2,24.0,0.341,8.9,12.3,0.724,7.5,22.0,29.6,14.6,6.6,4.0,10.1,16.5
229,Radford,25,40.6,70.2,24.8,57.5,0.432,6.9,22.0,0.314,13.6,19.0,0.716,9.0,21.0,30.0,11.3,5.2,2.6,10.2,15.0
230,Southeastern Louisiana,25,40.2,70.2,24.7,57.4,0.43,8.5,25.9,0.329,12.3,16.8,0.733,9.2,20.3,29.4,15.2,7.1,3.4,11.8,16.4
231,Tennessee State,26,40.2,70.2,23.8,56.2,0.423,6.1,18.6,0.329,16.5,22.8,0.722,9.4,23.3,32.7,11.4,6.6,3.7,13.0,17.0
232,Maryland-Eastern Shore,21,40.7,70.1,25.0,57.1,0.438,6.6,20.4,0.324,13.4,20.6,0.649,9.7,25.7,35.4,12.9,7.1,2.8,13.0,15.1
233,Southern Mississippi,25,40.0,70.1,25.0,58.6,0.427,7.4,21.5,0.342,12.7,18.8,0.677,9.6,24.2,33.7,12.5,7.5,3.1,12.1,17.2
234,Sacramento State,25,40.0,70.0,25.2,54.8,0.459,7.2,20.5,0.353,12.5,17.6,0.711,6.6,19.6,26.2,12.7,7.4,2.9,9.3,16.6
235,Bucknell,26,40.5,70.0,24.6,56.2,0.438,8.1,23.7,0.341,12.7,17.8,0.711,8.0,22.4,30.4,15.0,6.7,3.0,10.1,16.5
236,UNLV,22,40.3,70.0,25.1,57.7,0.435,7.0,20.8,0.338,12.7,17.0,0.748,9.5,22.7,32.2,14.2,5.6,3.5,12.6,16.5
237,Columbia,20,40.0,69.9,25.2,60.0,0.42,8.1,26.3,0.307,11.4,16.2,0.706,8.9,22.2,31.0,14.0,6.0,4.1,12.3,15.7
238,Austin Peay,26,40.5,69.8,24.7,54.8,0.451,6.4,20.9,0.305,14.0,20.0,0.701,8.7,24.3,33.0,12.6,4.5,2.9,11.6,14.9
239,Creighton,25,40.9,69.8,27.7,66.8,0.415,5.9,17.9,0.33,8.4,10.9,0.769,8.7,23.1,31.8,11.0,6.4,2.8,7.6,14.9
240,Utah Valley,24,40.2,69.8,24.4,57.1,0.427,6.6,20.0,0.331,14.4,20.8,0.691,7.8,24.5,32.3,13.9,7.3,3.8,13.0,19.1
241,Northwestern,24,40.8,69.8,23.4,52.0,0.45,7.1,20.0,0.357,15.8,21.4,0.739,7.5,22.7,30.2,13.5,5.1,3.5,13.2,16.8
242,Ohio State,25,40.4,69.7,25.4,58.8,0.433,7.0,19.6,0.359,11.8,16.9,0.697,9.2,22.5,31.8,11.1,4.8,2.5,10.2,18.3
243,Delaware,25,40.2,69.7,25.6,60.3,0.424,6.9,22.3,0.311,11.7,16.6,0.704,8.7,23.6,32.3,12.0,5.8,3.6,10.3,15.7
244,Texas State,25,40.0,69.7,24.4,56.2,0.434,6.1,19.9,0.306,14.8,20.5,0.723,8.7,22.8,31.6,11.9,7.6,4.0,11.8,17.1
245,Virginia Tech,24,39.8,69.7,25.3,56.8,0.445,6.7,19.8,0.34,12.5,17.3,0.72,8.2,20.8,29.0,12.5,6.7,2.9,11.4,17.0
246,Chicago State,28,40.1,69.6,25.3,55.0,0.46,6.0,19.0,0.318,13.0,19.0,0.687,9.9,21.4,31.3,12.5,7.2,2.9,14.0,17.0
247,Alabama State,24,40.2,69.5,22.6,54.8,0.413,7.8,23.8,0.326,16.5,23.3,0.711,8.3,27.7,36.0,12.5,6.4,4.3,13.9,15.9
248,Dartmouth,20,40.0,69.5,25.8,58.2,0.442,8.1,23.6,0.344,9.9,14.0,0.707,6.5,26.0,32.5,12.5,7.5,2.7,9.2,16.2
249,Purdue,24,40.3,69.5,26.0,63.2,0.412,7.5,24.0,0.31,9.9,14.3,0.696,8.2,19.5,27.7,14.9,6.8,2.3,10.0,20.3
250,Troy,25,40.6,69.4,23.9,57.0,0.419,7.0,20.0,0.348,14.7,21.1,0.698,8.7,21.7,30.4,11.0,7.8,4.2,14.4,18.2
251,Seton Hall,24,40.5,69.3,24.5,59.0,0.416,8.4,24.8,0.339,11.9,15.8,0.753,8.5,20.3,28.8,14.0,7.8,4.5,11.3,16.5
252,American University,25,40.4,69.3,25.0,54.4,0.459,8.4,23.2,0.364,11.0,16.0,0.683,7.1,21.5,28.6,12.6,4.8,2.4,10.4,16.1
253,Hawaii,25,40.4,69.3,25.2,55.8,0.451,4.8,14.6,0.325,14.2,19.2,0.74,6.4,22.1,28.5,9.4,6.2,2.4,10.8,18.2
254,Hofstra,25,40.2,69.2,24.0,58.6,0.409,8.3,24.6,0.339,12.9,17.2,0.753,9.3,23.6,32.8,13.0,5.7,2.4,11.4,14.4
255,SIU-Edwardsville,25,40.0,69.1,24.0,55.4,0.434,7.8,21.4,0.363,13.2,18.4,0.718,8.3,23.1,31.4,13.1,5.4,3.4,11.4,16.3
256,Utah State,24,40.4,69.0,24.7,57.6,0.429,6.0,21.1,0.283,13.6,18.8,0.725,6.8,20.8,27.6,12.0,6.6,2.6,11.8,18.3
257,Cal State Bakersfield,24,40.6,69.0,22.9,53.3,0.43,6.6,19.6,0.338,16.5,23.7,0.699,9.7,21.9,31.5,11.6,5.1,3.4,13.6,17.1
258,Kansas State,24,41.2,68.9,24.4,60.6,0.402,7.2,23.0,0.312,13.0,18.7,0.693,10.3,21.2,31.4,12.7,8.2,3.2,11.6,17.8
259,South Florida,22,39.9,68.9,24.4,57.6,0.424,7.0,22.0,0.317,13.1,19.5,0.671,8.6,24.4,33.0,12.5,6.0,3.0,12.0,18.5
260,Drake,26,40.7,68.8,24.8,56.8,0.437,7.3,22.7,0.324,11.8,16.9,0.695,6.8,23.3,30.1,10.3,5.6,2.5,12.1,16.9
261,James Madison,25,40.6,68.8,24.3,59.0,0.412,5.8,20.4,0.286,14.4,20.1,0.716,8.3,23.3,31.6,10.5,5.8,3.4,15.0,16.8
262,Campbell,25,40.1,68.7,25.1,58.1,0.432,8.2,25.1,0.327,10.4,14.8,0.7,9.4,22.1,31.5,13.1,6.4,3.0,11.5,16.5
263,Idaho State,25,40.6,68.7,25.3,53.7,0.472,5.5,16.2,0.342,12.6,16.8,0.746,7.0,21.1,28.0,12.0,6.2,2.5,11.7,17.6
264,UC San Diego,24,40.4,68.7,25.3,58.2,0.435,7.2,20.8,0.346,10.8,15.6,0.693,11.0,22.7,33.7,12.7,4.3,3.5,11.6,17.0
265,Minnesota,23,40.0,68.6,25.3,59.1,0.427,5.8,17.0,0.339,12.3,17.2,0.716,8.5,21.1,29.6,13.5,7.3,3.3,10.8,17.1
266,UTEP,24,40.0,68.4,23.4,52.3,0.447,5.3,17.3,0.305,16.4,23.2,0.706,8.8,23.2,32.0,10.7,7.8,3.4,18.6,20.3
267,East Tennessee State,25,40.0,68.4,24.0,56.6,0.424,6.7,20.9,0.322,13.6,19.8,0.689,9.2,24.3,33.6,11.3,6.6,3.1,12.0,17.0
268,Colorado State,25,40.3,68.4,24.9,57.0,0.437,6.5,19.8,0.327,12.0,16.1,0.747,8.3,22.2,30.5,11.8,5.4,2.6,11.7,16.4
269,UMass Lowell,23,40.2,68.3,25.6,63.0,0.406,6.2,21.8,0.283,11.0,15.6,0.704,8.6,21.6,30.1,10.8,7.6,3.1,11.8,18.2
