,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
301,291,Lafayette,Pat,24,10-15  9–3,94.7,104.4,.2438,47.4,48.2,18,17.4,24.2,28.7,23,30.7,48.1,46.5,30.8,34,39.4,39.1,65.4,-11.4
302,292,Texas Southern,SWAC,21,9-13  7–4,95.2,105.1,.2429,44.2,48.4,18.5,17.4,30.3,31.4,32.5,41.9,44.6,47.8,29,32.9,37.8,36.1,67.7,-7.8
303,293,Bucknell,Pat,26,10-16  7–6,100.7,111.1,.2428,51,51,19.7,16.2,25.3,28.9,30.4,31.8,49.8,50.9,35,34.1,43.7,42.2,65.2,-12.1
304,294,Northern Illinois,MAC,22,9-15  3–8,102.2,113.0,.2394,50.3,52.9,17.7,14.3,27.1,31.4,36.9,34.2,50,51.7,33.9,36.8,38.3,34.3,68.9,-10.4
305,295,Lehigh,Pat,22,9-15  6–7,97.8,108.2,.2389,48.8,52.7,17.1,17.7,22.5,23.9,34.7,30.2,50.5,50.9,30.5,37.1,37.2,37.1,70.6,-11.1
306,296,Wagner,NEC,20,11-11  5–5,98.4,108.9,.2360,45.3,49.5,15.9,17.2,28.3,28.1,26.8,28.9,42.5,52.1,33.1,30.6,39.5,41.4,61.2,-8.1
307,297,Louisiana Monroe,SB,21,9-14  4–8,100.5,111.4,.2350,45.7,51.7,18.9,15.9,34.5,29.7,38.2,37.7,47,49.3,28.3,36.3,29.3,46.1,66.9,-9.4
308,298,Campbell,CAA,22,12-13  6–6,99.9,110.8,.2326,51.7,51.5,19,17.2,24.5,31.1,34.4,24.8,52.9,52.2,33.3,33.7,37.9,43.9,65.5,-9.9
309,299,DePaul,BE,23,3-20  0–12,98.6,109.7,.2257,47.7,54.7,20.1,15.1,21.4,32.4,34.8,30.3,46.4,54.7,33.5,36.4,34.2,39.8,67.8,-10.9
310,300,UMBC,AE,24,7-18  2–8,104.8,116.8,.2248,52.9,51.9,18.1,14.7,26.2,31.3,23.8,28.2,52.2,53.6,36.1,32.4,35.6,35.3,74.1,-14.5
311,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,Efg%,EfgD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj,WAB
312,301,South Carolina St.,MEAC,22,9-15  4–3,101.4,112.9,.2245,45.8,53.9,20,20.7,36.8,31,36,49.3,45.1,55.5,31.8,34.2,29.1,39.9,69.5,-10.6
313,302,Bellarmine,ASun,23,6-20  2–9,100.8,112.4,.2232,48.7,54.2,15.3,14.6,22.3,30.1,20.9,30.8,47.5,57,33.9,33.9,37.4,44.8,64.6,-14.6
314,303,Boston University,Pat,24,10-15  5–7,96.1,107.1,.2220,46.7,50,17.9,17,26.6,21.6,28.6,36.2,46.1,48.9,31.7,34.4,40.9,41.8,66.3,-12.4
315,304,Alabama St.,SWAC,21,11-13  6–5,92.2,103.0,.2193,41.7,49.6,17.2,19.6,30.7,28.5,28.3,44.3,40.5,49.8,29.2,32.8,36.4,43,67.8,-8.1
316,305,Jacksonville,ASun,22,13-12  4–7,98.4,109.9,.2186,49,51.8,20.1,16.8,32.8,31.5,36.6,42.1,49,50.5,32.7,35.8,33.9,40,66.8,-7.7
317,306,Georgia Southern,SB,25,5-20  5–7,101.7,113.8,.2160,50,52.9,19.3,17.8,27.9,35.5,28.9,40.2,48.2,51.6,34.7,36.7,46.4,37.7,68.7,-15.1
318,307,Le Moyne,NEC,21,10-14  5–5,102.3,114.4,.2160,50.6,53.2,17.2,18.3,24.5,31.5,23.5,28.1,48.1,54.5,35.8,34.4,46.3,43.5,67.8,-10.9
319,308,Alcorn St.,SWAC,23,7-17  6–5,104.9,117.4,.2158,47.6,56.4,17.1,17.8,31.8,32.4,35.8,36.6,46.4,55.5,33.9,38.2,25.4,48.6,67.1,-10.8
320,309,Bethune Cookman,SWAC,22,12-12  7–4,99.6,111.6,.2140,48.2,50.8,20.6,22,30.4,34,39,49,48.7,49.7,31.3,35.1,30.5,36.8,70.8,-9
321,310,Presbyterian,BSth,23,12-14  4–7,101.8,114.4,.2072,51.8,53,16.7,17,25,28,38.6,43.3,52.3,53.3,33.7,35,33.2,36.1,67.6,-10.7
322,311,Charleston Southern,BSth,20,8-15  4–6,98.0,110.2,.2070,46.5,51.8,18.8,13.9,26.9,31.3,33,33.7,45.8,52.3,32,34,34.1,31.2,66.5,-9.9
323,312,Sacred Heart,NEC,24,12-14  6–5,100.1,112.7,.2044,50.2,53,17.4,20.6,25.8,32.2,32.5,32.6,49.2,52.4,34.7,35.8,34.3,41.1,69.4,-10.8
324,313,Grambling St.,SWAC,21,11-13  8–3,94.5,106.4,.2023,45.9,51,20.6,19.4,28.3,34.4,36,35.5,45.8,50.2,30.9,35.2,30.2,33.2,65.2,-7.6
325,314,Delaware St.,MEAC,21,10-13  3–4,92.6,104.4,.2007,44.6,52.5,21.2,21.3,31.8,28.4,37.5,36.4,45.6,50,27.7,37.6,24.2,39.6,69.7,-9.6
326,315,NJIT,AE,21,7-15  3–7,97.7,110.2,.1999,44.9,50.8,17.1,17.3,28.4,35,33.5,40.1,45.1,49.7,29.8,35.3,39.6,35.1,67,-11.3
327,316,Elon,CAA,23,10-15  3–9,103.1,116.6,.1952,50.8,53.1,17.6,15.2,28.7,33.5,33.2,31.5,48.1,54.4,36.3,34.1,42.2,38.8,68.3,-11.1
328,317,UT Rio Grande Valley,WAC,21,6-17  2–10,97.4,110.4,.1916,45.4,51.5,19.7,19.6,26.3,35,45.9,37.6,46.1,52.9,29.1,32.4,29.6,32.8,72.5,-12.9
329,318,Northern Arizona,BSky,25,11-14  4–7,97.3,110.7,.1848,49,53.2,18.2,17.8,22.4,31,31.3,37.9,50.3,55.3,31.1,32.9,35.7,36,68.7,-9.1
330,319,Eastern Illinois,OVC,21,11-14  5–7,95.8,109.2,.1812,44,53.6,16.1,20,27.1,26.8,26.3,38.6,43.4,53.6,30.4,35.9,30,39.7,65.9,-9.4
331,320,Coastal Carolina,SB,21,6-17  3–9,100.5,114.5,.1811,49.1,51.5,18.2,13.3,30.4,31.9,31,30.7,50.5,51.8,30.8,34.2,32.4,47.4,69.2,-13.6
332,321,South Dakota,Sum,22,10-15  3–7,100.3,114.3,.1810,50.2,52.1,18.7,12.2,29.6,29.5,30.2,26.9,48.4,50.9,35.8,36.2,34.2,37.4,68.8,-12
333,322,Northwestern St.,Slnd,23,7-18  5–7,97.9,111.7,.1801,47.7,53.7,20.1,18.3,29.1,34.4,36.5,39.3,48.4,55.9,31.1,33.4,37.7,36.9,68.1,-13.7
334,323,Western Michigan,MAC,23,8-16  5–6,98.5,112.4,.1788,49.3,51.8,20.5,15.8,33.9,30.1,32,32.5,49.9,51.4,32.3,35,37.9,38.5,68.3,-11.9
335,324,William & Mary,CAA,23,8-17  3–9,99.7,114.3,.1721,49,53.3,16.7,14.3,26.8,28.3,34.8,34,49.6,54.1,32.2,34.7,47.3,37.4,66,-13.8
336,325,Southern Indiana,OVC,22,7-18  4–8,95.9,110.3,.1664,45.7,49.5,20.9,16.5,27.7,27.1,39.1,48.2,43.9,48.9,32.6,33.6,35.5,36.8,69.9,-14
337,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,Efg%,EfgD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj,WAB
338,326,Texas A&M Commerce,Slnd,22,9-16  3–9,94.9,109.5,.1615,46,52.4,17.6,18.4,24.7,32.7,27.7,41.6,47,52.9,29.9,34.2,47.7,32,66.6,-10.5
339,327,Sacramento St.,BSky,23,6-19  2–10,95.9,110.7,.1611,47.3,53.9,23.8,14.3,34.2,25.6,31.6,33.1,49.1,54.2,29.8,35.6,40.9,37,63.8,-14.5
340,328,New Orleans,Slnd,21,8-17  3–9,100.6,116.2,.1610,46.2,55.1,17.6,18.1,28.7,33.5,37.2,40,45.4,56.3,32.2,35.1,27.8,32.2,71.3,-12.9
341,329,Army,Pat,23,8-17  4–8,92.5,107.5,.1511,46.9,49.5,19.3,16.8,28,25.8,25.4,33.4,46.2,50.3,31.8,32,45.6,37.9,63,-14.8
342,330,Manhattan,MAAC,21,5-17  2–11,94.5,109.9,.1505,46.9,52.4,19.7,16.9,25.5,29.6,21.3,28.5,47.6,52.8,30.5,34.5,39.9,34.3,69.4,-12.8
343,331,Fairleigh Dickinson,NEC,23,11-14  5–5,97.4,113.4,.1480,47.3,53.3,16.9,19.3,27.5,31.7,34.2,33.3,46.7,52.2,32.1,36.6,39.8,41.5,72.4,-11.1
