,Player,Team,Pos,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
37,P.J. Hayes,SAND,SF,11,22.4,9.3,2.6,6.3,0.42,1.9,5.1,0.375,2.1,2.5,0.852,0.6,2.6,3.3,1.3,0.5,0.1,1.0,1.5
38,Bryce Okpoh,CAN,SF,11,22.6,9.3,3.9,6.7,0.581,0.6,1.1,0.583,0.8,2.3,0.36,1.8,1.5,3.4,0.5,0.3,0.6,1.0,1.9
39,Jalen Bolden,ULM,SF,8,19.6,9.3,3.5,6.1,0.571,0.8,1.9,0.4,1.5,1.8,0.857,1.9,4.3,6.1,0.5,0.8,0.4,1.1,1.4
40,Isaiah Barnes,TULSA,SF,8,27.8,9.3,2.9,6.5,0.442,1.4,3.9,0.355,2.1,3.1,0.68,1.5,3.5,5.0,1.1,1.1,0.5,1.3,1.0
41,Braxton Bayless,NIAG,SF,8,25.1,9.3,3.8,7.3,0.517,0.1,0.5,0.25,1.6,2.1,0.765,0.4,0.9,1.3,2.1,0.8,0.1,2.3,2.4
42,Josh O'Garro,TXST,SF,9,25.2,9.2,3.7,7.0,0.524,0.2,1.3,0.167,1.7,2.6,0.652,1.9,4.4,6.3,1.1,1.4,0.4,0.3,2.7
43,Rowan Brumbaugh,GTOWN,SF,9,24.1,9.2,2.9,6.9,0.419,1.0,3.3,0.3,2.4,3.2,0.759,0.4,2.4,2.9,3.0,2.0,0.0,2.4,2.6
44,Cody Pennebaker,LAMAR,SF,9,24.3,9.2,3.3,8.7,0.385,1.7,4.2,0.395,0.9,1.3,0.667,1.3,2.7,4.0,1.1,0.3,0.4,0.9,1.4
45,Arne Osojnik,EMICH,SF,9,23.6,9.2,3.3,8.3,0.4,2.1,5.7,0.373,0.4,0.4,1.0,0.6,2.2,2.8,0.6,0.7,0.3,0.6,2.3
46,Isaac Bruns,SODAK,SF,10,15.6,9.2,3.8,8.3,0.458,1.4,3.7,0.378,0.2,0.7,0.286,0.8,1.6,2.4,0.7,0.5,0.0,0.7,1.0
47,Lorenzo Donadio,AMERU,SF,11,27.1,9.2,3.3,8.4,0.391,1.7,4.7,0.365,0.9,1.3,0.714,1.5,3.0,4.5,2.5,1.3,0.3,1.1,1.3
48,Justin Bufford,MTSU,SF,11,30.5,9.2,3.1,8.1,0.382,0.7,3.5,0.211,2.3,3.0,0.758,1.5,2.1,3.6,1.5,0.7,0.9,1.5,2.7
49,Quincy Anderson,MRRY,SF,9,19.9,9.1,2.9,6.4,0.448,1.4,3.6,0.406,1.9,2.8,0.68,0.8,2.2,3.0,0.8,0.6,0.2,0.7,1.7
50,Chandler Pigge,HAR,SF,10,31.7,9.1,3.2,7.2,0.444,0.6,2.4,0.25,2.1,2.4,0.875,1.3,4.4,5.7,1.8,1.1,0.7,1.8,1.8
51,Isaiah Griffin,IDHST,SF,10,28.6,9.1,3.7,7.7,0.481,0.1,1.1,0.091,1.6,2.3,0.696,1.5,3.6,5.1,0.5,0.8,0.1,2.3,2.2
52,T.J. Bamba,VILL,SF,11,26.2,9.1,2.8,8.5,0.333,1.3,4.0,0.318,2.2,2.5,0.857,0.9,3.0,3.9,2.1,0.6,0.2,0.8,1.8
53,Malik Moore,PEPP,SF,12,30.8,9.1,2.9,8.4,0.347,1.2,3.9,0.298,2.1,2.5,0.833,0.4,1.7,2.1,2.8,0.7,0.1,1.6,2.1
54,Jaxon Edwards,VAL,SF,10,26.9,9.0,3.6,9.1,0.396,1.0,3.1,0.323,0.8,1.0,0.8,2.0,4.0,6.0,0.6,0.6,1.6,1.4,2.0
55,J.R. Konieczny,ND,SF,9,25.4,9.0,2.8,6.7,0.417,1.1,3.7,0.303,2.3,2.7,0.875,1.3,3.8,5.1,0.8,0.8,0.3,0.8,1.3
56,Caleb Kenney,HC,SF,10,20.1,9.0,4.0,7.1,0.563,0.0,0.0,0.0,1.0,1.8,0.556,2.1,2.5,4.6,1.2,0.4,0.9,1.5,2.7
57,"Jimmy Nichols, Jr.",CCU,SF,9,17.7,9.0,3.3,6.6,0.508,0.6,1.2,0.455,1.8,2.3,0.762,2.2,2.6,4.8,0.9,0.0,1.3,1.7,2.4
58,Jourdan Smith,GRAMB,SF,6,26.8,9.0,3.0,7.7,0.391,0.3,1.3,0.25,2.7,3.3,0.8,1.5,3.2,4.7,0.8,1.2,0.7,3.2,2.2
59,Alex Ducas,STMRY,SF,10,24.8,8.9,3.1,7.2,0.431,2.1,5.2,0.404,0.6,0.8,0.75,0.7,3.2,3.9,1.5,0.5,0.2,0.9,1.0
60,Chad Baker-Mazara,AUB,SF,9,19.7,8.9,2.7,6.0,0.444,0.9,2.4,0.364,2.7,3.0,0.889,1.1,2.6,3.7,2.3,0.9,0.4,0.6,2.1
61,Greg Spurlock,COPST,SF,12,29.1,8.8,3.7,9.3,0.396,0.8,3.3,0.256,0.7,0.8,0.8,0.4,3.2,3.6,1.8,1.3,0.3,1.8,1.7
62,Jayce Willingham,BLMNT,SF,11,26.3,8.8,3.0,6.5,0.465,1.1,2.8,0.387,1.7,2.5,0.704,1.3,3.8,5.1,1.6,0.7,0.4,1.0,1.4
63,Jackson Sivills,WOFF,SF,10,22.7,8.8,3.1,7.3,0.425,1.5,4.2,0.357,1.1,1.3,0.846,1.2,2.9,4.1,1.8,0.5,0.4,1.6,3.1
64,Caleb Foster,DUKE,SF,10,24.8,8.8,3.3,6.6,0.5,1.0,2.6,0.385,1.2,2.3,0.522,0.3,1.9,2.2,1.6,0.3,0.2,1.0,1.7
65,Reggie Bass,KENT,SF,10,23.8,8.8,2.4,6.9,0.348,1.1,4.1,0.268,2.9,3.6,0.806,0.3,2.2,2.5,1.7,1.2,0.0,1.8,1.7
66,Omari Peek,AAMU,SF,10,20.7,8.8,3.0,8.0,0.375,0.8,2.5,0.32,2.0,2.8,0.714,0.8,2.1,2.9,0.7,0.4,0.3,2.3,2.3
67,Bobby Harvey,PORTL,SF,9,20.1,8.8,3.1,7.4,0.418,2.1,6.1,0.345,0.4,0.6,0.8,0.7,1.2,1.9,0.7,0.7,0.1,0.7,1.4
68,Masai Olowokere,UCA,SF,12,27.7,8.8,3.2,6.1,0.521,1.0,3.1,0.324,1.4,2.0,0.708,0.9,2.3,3.3,1.6,1.2,0.2,1.3,1.1
69,"Kenny Strawbridge, Jr.",UE,SF,8,24.9,8.8,3.3,8.1,0.4,0.3,1.8,0.143,2.0,3.4,0.593,1.0,2.5,3.5,2.8,2.1,0.0,1.3,1.8
70,"John Lovelace, Jr.",YSU,SF,10,19.8,8.7,3.5,6.6,0.53,0.6,1.7,0.353,1.1,1.7,0.647,1.5,2.1,3.6,1.3,0.8,0.3,0.7,2.5
71,Aquan Smart,SEMO,SF,10,23.2,8.7,2.9,8.6,0.337,0.7,3.2,0.219,2.2,3.1,0.71,0.3,2.8,3.1,2.9,0.6,0.2,2.6,2.7
72,Jaylin Jackson-Posey,NMSU,SF,9,25.4,8.7,2.9,6.8,0.426,1.2,2.4,0.5,1.7,1.8,0.938,0.3,3.9,4.2,4.3,1.0,0.1,2.9,3.0
73,Nate Johnson,AKR,SF,9,25.7,8.7,3.7,7.1,0.516,0.9,2.2,0.4,0.4,0.9,0.5,1.0,2.2,3.2,2.1,1.3,0.1,0.8,2.9
74,Daniel Egbuniwe,TNTCH,SF,11,29.2,8.6,3.4,7.2,0.468,0.9,2.5,0.357,1.0,1.4,0.733,1.0,5.5,6.5,2.5,1.0,1.7,1.7,1.8
75,Miles Brewster,BSTN,SF,11,24.5,8.6,3.1,7.4,0.42,1.1,3.1,0.353,1.4,1.8,0.75,0.3,3.1,3.4,3.0,1.6,0.2,1.3,2.3
76,Jaylen Crocker-Johnson,UALR,SF,11,24.9,8.6,3.0,6.9,0.434,0.6,2.6,0.241,2.0,3.0,0.667,1.6,2.8,4.5,0.9,0.5,0.7,1.2,3.5
77,Andrej Stojakovic,STAN,SF,8,24.9,8.6,3.5,8.3,0.424,1.3,3.4,0.37,0.4,1.0,0.375,0.4,2.8,3.1,0.5,0.8,0.1,1.1,1.3
78,Alexis Reyes,QUIN,SF,10,26.3,8.6,2.5,6.8,0.368,1.3,3.6,0.361,2.3,2.5,0.92,0.8,3.1,3.9,1.5,1.0,0.2,1.1,1.2
79,John Ukomadu,EKU,SF,9,15.0,8.6,3.8,7.0,0.54,0.1,0.8,0.143,0.9,1.6,0.571,2.9,3.1,6.0,1.0,1.2,0.8,0.9,1.9
80,Jovan Stulic,SOILL,SF,9,20.3,8.6,2.8,5.8,0.481,1.4,3.4,0.419,1.6,2.0,0.778,0.3,2.9,3.2,0.9,0.9,0.2,0.6,1.9
81,Nick Gazelas,PVAMU,SF,9,32.2,8.6,3.4,10.1,0.341,1.3,4.8,0.279,0.3,0.7,0.5,0.1,1.3,1.4,1.3,0.8,0.0,1.0,2.4
82,Trae Benham,HP,SF,11,24.4,8.5,2.8,6.6,0.425,2.4,5.7,0.413,0.5,0.5,1.0,1.2,3.8,5.0,0.5,0.4,0.3,0.5,1.4
83,Ahmarie Simpkins,MORST,SF,11,25.3,8.5,3.6,7.7,0.471,0.3,0.9,0.3,1.0,1.7,0.579,1.8,2.9,4.7,1.5,1.0,0.4,2.1,2.0
84,Donovan Williams,PACI,SF,11,30.2,8.5,2.4,7.5,0.313,1.1,3.9,0.279,2.7,4.3,0.638,0.4,4.2,4.5,1.6,1.2,0.2,1.6,2.4
85,Ja'Shonte' Wright-McLeish,MAINE,SF,12,29.9,8.5,2.9,6.3,0.461,1.9,4.2,0.46,0.8,0.9,0.818,0.6,1.0,1.6,0.8,1.6,0.0,0.8,2.4
86,A.J. George,LBSU,SF,11,23.1,8.5,3.3,6.4,0.514,0.1,0.5,0.2,1.8,2.5,0.741,1.2,2.3,3.5,0.8,0.5,0.8,1.3,1.7
87,Markeith Browning II,UWM,SF,11,29.4,8.5,3.2,7.8,0.407,0.7,2.9,0.25,1.4,2.3,0.6,1.1,2.5,3.5,2.5,0.8,0.6,2.8,2.1
88,Caleb Grill,MZZOU,SF,9,21.9,8.4,2.7,7.3,0.364,1.6,5.3,0.292,1.6,1.9,0.824,1.3,4.4,5.8,1.4,1.1,0.2,0.8,1.9
89,Frankie Policelli,C of C,SF,9,20.1,8.4,2.6,7.7,0.333,1.7,5.7,0.294,1.7,2.1,0.789,1.2,3.4,4.7,0.8,0.2,0.2,1.1,2.4
90,Kendall Blue,STTOM,SF,10,26.8,8.4,2.9,6.7,0.433,1.4,4.0,0.35,1.2,1.8,0.667,0.4,3.4,3.8,1.1,0.9,0.3,1.2,1.5
91,Hayden Hefner,TAMU,SF,10,21.3,8.4,3.1,7.4,0.419,1.8,4.5,0.4,0.4,1.2,0.333,1.0,1.2,2.2,1.1,0.6,0.0,1.2,1.1
92,Andrei Savrasov,DUQ,SF,9,19.7,8.3,3.1,6.3,0.491,0.8,2.0,0.389,1.3,2.3,0.571,1.4,3.3,4.8,0.6,0.9,0.7,0.7,1.3
93,"T.J. Weeks, Jr.",RIDER,SF,9,29.0,8.3,2.8,9.1,0.305,1.4,5.3,0.271,1.3,1.9,0.706,1.6,5.2,6.8,1.1,1.0,0.1,1.0,1.9
94,Andres Marrero,LASAL,SF,10,19.0,8.3,2.5,6.0,0.417,2.3,4.8,0.479,1.0,1.1,0.909,0.4,1.6,2.0,0.6,0.5,0.2,0.4,1.5
95,Aaron Cooley,BRWN,SF,12,31.3,8.3,2.8,6.8,0.402,0.9,2.5,0.367,1.8,2.5,0.733,1.1,3.9,5.0,1.6,0.4,0.8,1.4,2.1
96,Will Thomas,MORST,SF,12,24.5,8.3,3.3,7.8,0.415,0.3,1.3,0.267,1.4,1.8,0.773,0.8,3.6,4.3,1.8,0.6,0.4,1.6,2.1
97,Christian Davis,BRDLY,SF,9,27.2,8.2,2.6,5.2,0.489,1.4,3.3,0.433,1.7,2.2,0.75,0.8,4.3,5.1,0.4,1.0,0.3,0.9,2.3
98,Kellan Boylan,AF,SF,10,36.4,8.2,2.4,5.6,0.429,0.7,2.5,0.28,2.7,3.8,0.711,1.7,5.1,6.8,2.8,1.6,1.1,2.1,2.6
99,Armon Harried,BNGH,SF,10,26.4,8.2,2.8,7.6,0.368,0.3,1.5,0.2,2.3,3.3,0.697,1.2,3.0,4.2,2.5,0.8,0.7,1.6,2.4
0,Malachi Poindexter,ILLST,SF,10,24.5,8.2,2.6,7.4,0.351,0.9,4.1,0.22,2.1,2.5,0.84,0.5,2.7,3.2,1.5,0.8,0.0,1.0,2.0
1,Joshua Lusane,HMPTN,SF,9,17.0,8.1,3.0,5.9,0.509,0.2,0.8,0.286,1.9,2.2,0.85,1.3,1.6,2.9,0.9,0.9,0.4,0.7,2.0
2,Alec Oglesby,STET,SF,9,27.9,8.1,2.7,7.1,0.375,1.7,4.8,0.349,1.1,1.2,0.909,1.0,3.6,4.6,1.7,0.4,0.2,1.4,2.0
3,Dji Bailey,RICH,SF,10,25.1,8.1,3.3,5.3,0.623,0.3,0.7,0.429,1.2,2.5,0.48,0.6,3.1,3.7,2.0,1.9,0.2,0.6,1.3
4,Tajavis Miller,NDSU,SF,10,25.3,8.1,2.6,6.6,0.394,1.7,3.7,0.459,1.2,1.8,0.667,1.2,4.1,5.3,1.4,0.4,0.4,1.4,1.6
5,"Anquan Boldin, Jr.",BUFF,SF,10,30.6,8.1,3.1,6.5,0.477,0.8,2.3,0.348,1.1,1.8,0.611,1.7,1.9,3.6,1.8,1.5,0.6,2.3,1.9
6,Chris Mantis,APPST,SF,10,20.9,8.1,2.9,6.8,0.426,2.2,5.7,0.386,0.1,0.4,0.25,0.2,1.7,1.9,1.4,0.7,0.3,0.3,1.2
7,Tyrell Ward,LSU,SF,10,20.5,8.0,2.3,5.6,0.411,1.3,3.3,0.394,2.1,3.1,0.677,0.9,1.3,2.2,0.7,1.1,0.4,0.8,1.3
8,Jaylen Wells,WSU,SF,8,16.5,8.0,2.4,6.4,0.373,1.6,3.8,0.433,1.6,2.3,0.722,1.3,3.6,4.9,0.8,0.3,0.1,0.4,1.9
9,Niels Lane,DEL,SF,10,23.8,8.0,3.3,7.3,0.452,0.1,1.1,0.091,1.3,2.2,0.591,0.6,2.2,2.8,1.7,0.7,0.5,1.5,2.3
10,Terrence Lewis,GRAMB,SF,9,18.4,8.0,3.1,6.6,0.475,0.9,2.8,0.32,0.9,1.3,0.667,0.9,1.3,2.2,0.4,0.6,0.1,1.0,1.7
11,Corey Hadnot II,IPFW,SF,11,20.2,7.9,2.9,7.6,0.381,1.0,3.7,0.268,1.1,1.3,0.857,0.4,0.9,1.3,1.8,0.5,0.1,0.7,1.5
12,Michael Moreno,EKU,SF,9,25.7,7.9,2.9,8.1,0.356,1.8,6.2,0.286,0.3,0.9,0.375,1.6,5.1,6.7,1.9,1.2,0.6,1.0,0.8
13,Jefferson Monegro,WMY,SF,9,30.7,7.9,2.3,5.3,0.438,0.4,1.7,0.267,2.8,3.3,0.833,0.9,1.6,2.4,2.9,0.9,0.2,1.7,1.8
14,Rashad King,NEU,SF,9,22.7,7.9,2.9,6.3,0.456,0.2,1.4,0.154,1.9,2.2,0.85,1.0,1.7,2.7,1.9,1.2,0.3,1.7,2.2
15,Marvin McGhee III,CSUB,SF,9,26.0,7.9,2.9,8.2,0.351,1.8,5.3,0.333,0.3,0.6,0.6,0.3,3.2,3.6,1.4,0.9,0.1,0.8,2.1
16,Tevin Smith,CLEST,SF,11,23.9,7.8,2.3,6.0,0.379,0.6,1.6,0.389,2.6,3.6,0.725,2.4,2.8,5.2,1.1,1.3,0.9,1.8,2.4
17,Derrian Ford,ARKST,SF,11,23.4,7.8,3.0,7.5,0.402,1.5,4.0,0.364,0.4,0.9,0.4,1.5,2.1,3.5,1.5,0.5,0.1,1.6,1.2
18,Jake Groves,UVA,SF,9,19.8,7.8,2.8,5.6,0.5,1.2,2.9,0.423,1.0,1.2,0.818,0.7,1.8,2.4,1.2,0.4,0.1,0.3,2.1
19,Le'tre Darthard,OKLA,SF,9,23.7,7.8,2.8,6.7,0.417,1.4,4.2,0.342,0.8,1.1,0.7,0.1,1.3,1.4,1.1,1.0,0.2,0.9,0.9
20,Collin Cooper,EKU,SF,9,21.3,7.8,2.4,6.7,0.367,1.8,5.6,0.32,1.1,1.1,1.0,0.9,2.0,2.9,1.1,1.0,0.0,1.1,2.8
21,Adou Thiero,UK,SF,8,24.9,7.8,2.9,5.4,0.535,0.1,0.8,0.167,1.9,2.6,0.714,1.9,4.5,6.4,0.8,0.9,0.8,0.9,2.0
22,Kane Milling,UCD,SF,8,33.6,7.8,2.6,8.3,0.318,1.3,4.0,0.313,1.3,2.3,0.556,1.1,2.4,3.5,1.1,1.6,0.9,1.4,2.1
23,Chase Forte,NSU,SF,10,28.2,7.7,2.9,7.0,0.414,0.3,1.6,0.188,1.6,2.7,0.593,1.6,2.3,3.9,3.2,1.5,0.3,2.0,1.8
24,Jeremiah Talton,LIND,SF,10,23.0,7.7,2.5,6.0,0.417,1.3,3.2,0.406,1.4,1.7,0.824,0.9,2.5,3.4,0.6,0.8,0.3,0.6,1.6
25,Jaylin Henderson,LATCH,SF,11,24.4,7.6,2.6,6.5,0.408,1.0,2.8,0.355,1.4,2.0,0.682,0.4,2.5,2.9,1.5,0.8,0.1,1.5,2.1
26,Brandyn Talbot,UTA,SF,9,23.3,7.6,2.8,6.9,0.403,1.8,4.8,0.372,0.2,0.2,1.0,0.6,1.7,2.2,2.3,0.6,0.0,1.1,1.6
27,Jake Van Der Heijden,UNF,SF,11,20.9,7.5,2.5,6.4,0.4,1.8,4.4,0.417,0.6,1.2,0.538,0.9,2.1,3.0,0.6,0.4,0.7,1.2,2.3
28,Dan Luers,EIU,SF,11,22.2,7.5,3.0,6.1,0.493,1.1,3.1,0.353,0.5,0.5,1.0,0.0,1.2,1.2,1.4,0.5,0.0,0.8,2.4
29,"Darrick Jones, Jr.",MOYNE,SF,10,17.7,7.5,2.1,5.6,0.375,1.0,3.1,0.323,2.3,3.2,0.719,0.4,1.3,1.7,0.6,0.5,0.1,0.9,1.2
30,Kidtrell Blocker,IUPUI,SF,11,28.1,7.5,3.0,7.4,0.407,0.4,2.1,0.174,1.1,1.6,0.667,1.2,2.0,3.2,1.4,0.6,0.2,1.8,1.2
31,Tre Coleman,UNR,SF,9,28.0,7.4,2.7,6.0,0.444,0.6,2.1,0.263,1.6,1.9,0.824,0.4,3.0,3.4,2.8,1.4,0.4,1.6,2.2
32,Chance McMillian,TXTCH,SF,9,23.8,7.4,2.7,6.8,0.393,1.9,4.8,0.395,0.2,0.3,0.667,0.8,3.0,3.8,0.9,0.4,0.3,0.8,0.9
33,Justin Taylor,SYRA,SF,10,29.4,7.4,2.7,8.2,0.329,1.6,5.1,0.314,0.4,0.5,0.8,0.2,6.0,6.2,2.1,0.9,0.3,1.3,1.5
34,Jamond Vincent,NEWOR,SF,10,26.6,7.4,3.1,8.0,0.388,0.1,1.0,0.1,1.1,1.5,0.733,1.5,4.3,5.8,1.3,0.7,0.6,1.9,1.2
35,Myles Rigsby,TROY,SF,10,22.7,7.4,2.1,6.1,0.344,0.4,1.5,0.267,2.8,3.7,0.757,0.9,2.4,3.3,1.3,1.6,0.6,1.0,2.3
36,Kyle McGee,HEART,SF,10,24.4,7.4,2.0,7.5,0.267,1.0,3.8,0.263,2.4,3.3,0.727,0.4,2.1,2.5,2.2,0.9,0.1,1.2,2.0
37,Leon Bond III,UVA,SF,9,18.0,7.3,3.2,5.7,0.569,0.1,0.2,0.5,0.8,1.1,0.7,1.8,2.4,4.2,0.9,0.7,0.4,0.4,1.0
38,Bryce Butler,C of C,SF,9,20.9,7.3,2.7,5.9,0.453,0.4,1.2,0.364,1.6,2.1,0.737,1.7,1.7,3.3,1.3,0.1,0.2,1.9,1.3
39,Max Burchill,SODAK,SF,10,27.5,7.3,2.0,5.0,0.4,0.6,2.0,0.3,2.7,3.3,0.818,2.0,2.5,4.5,2.0,1.1,0.2,1.6,2.5
40,L.A. Pratt,ELON,SF,10,22.1,7.3,3.0,6.4,0.469,1.0,3.3,0.303,0.3,0.6,0.5,0.7,2.1,2.8,2.7,1.1,0.2,1.2,1.6
41,Chase Ross,MARQ,SF,10,20.9,7.3,2.3,5.0,0.46,0.7,2.0,0.35,2.0,2.5,0.8,0.6,2.8,3.4,0.4,0.9,0.3,0.7,2.2
42,Kyle Owens,UCR,SF,10,17.6,7.3,2.6,6.3,0.413,1.1,2.6,0.423,1.0,1.5,0.667,1.0,3.6,4.6,0.3,0.3,0.0,0.5,1.5
43,Isaiah Coleman,SETON,SF,10,18.8,7.3,2.7,5.4,0.5,0.4,1.3,0.308,1.5,2.2,0.682,0.9,2.2,3.1,0.7,1.3,0.4,1.3,2.4
44,Kaleb Scott,PRSBY,SF,11,20.2,7.3,3.1,4.4,0.708,0.1,0.2,0.5,1.0,1.6,0.611,0.8,3.1,3.9,0.3,0.5,0.3,1.2,1.5
45,Billy Smith,BELL,SF,11,22.0,7.3,2.7,7.5,0.366,1.5,4.8,0.302,0.4,0.5,0.8,0.4,1.6,2.0,1.7,0.6,0.5,0.8,1.4
46,Liam Lloyd,NAU,SF,10,33.4,7.2,2.6,8.1,0.321,1.3,5.0,0.26,0.7,1.2,0.583,0.6,4.6,5.2,4.3,1.5,0.2,3.0,2.7
47,Bryan Etumnu,MERRI,SF,11,20.9,7.2,3.2,5.1,0.625,0.2,0.7,0.25,0.6,1.4,0.467,1.0,3.5,4.5,0.4,0.5,2.2,0.7,2.4
48,Trey Autry,GW,SF,11,21.5,7.2,2.5,6.5,0.394,1.5,5.1,0.286,0.6,0.7,0.875,0.1,3.6,3.7,0.9,0.5,0.2,0.6,1.2
49,Anthony Selden,RICE,SF,8,20.3,7.1,2.4,5.0,0.475,0.4,1.3,0.3,2.0,2.6,0.762,1.1,1.6,2.8,0.5,0.6,0.5,1.6,2.5
50,Quion Williams,OKST,SF,9,30.6,7.1,3.0,5.6,0.54,0.4,0.9,0.5,0.7,1.3,0.5,2.0,4.2,6.2,2.6,1.1,0.2,2.0,1.9
51,R.J. Godfrey,CLEM,SF,9,18.0,7.1,3.1,5.6,0.56,0.1,0.2,0.5,0.8,1.8,0.438,1.2,3.7,4.9,0.8,0.7,1.1,1.1,2.8
52,Shemarri Allen,UCF,SF,9,28.6,7.1,2.8,7.0,0.397,0.2,1.3,0.167,1.3,2.2,0.6,0.9,2.4,3.3,2.2,1.4,0.6,2.0,3.2
53,Uchenna Kellman-Nicholes,NC A&T,SF,9,26.4,7.1,2.2,7.0,0.317,1.7,5.7,0.294,1.0,2.2,0.45,0.6,1.8,2.3,1.1,0.4,0.3,0.8,1.3
54,Owen Dease,TAMU-CC,SF,9,19.9,7.1,2.2,8.3,0.267,1.1,3.8,0.294,1.6,2.2,0.7,0.9,1.9,2.8,1.4,0.6,0.6,1.1,2.8
55,Diego Campisano,NAU,SF,10,18.0,7.1,2.8,5.1,0.549,0.9,2.0,0.45,0.6,0.8,0.75,0.7,2.0,2.7,0.5,0.0,0.0,0.6,2.0
56,Tamar Bates,MZZOU,SF,10,17.2,7.1,2.4,5.2,0.462,0.9,2.1,0.429,1.4,1.6,0.875,0.3,0.9,1.2,0.9,0.6,0.2,0.5,1.9
57,Kobe Stewart,PRSBY,SF,11,23.1,7.1,2.8,6.3,0.449,0.8,2.9,0.281,0.6,1.4,0.467,1.2,4.0,5.2,1.4,0.8,0.3,0.7,1.6
58,Stephen Olowoniyi,VMI,SF,11,19.0,7.1,3.3,5.9,0.554,0.0,0.1,0.0,0.5,1.7,0.316,1.6,4.5,6.1,0.3,0.5,0.7,1.4,2.5
59,Jaylani Darden,NORF,SF,11,23.5,7.0,2.2,4.6,0.471,0.6,1.9,0.333,2.0,2.3,0.88,1.9,4.5,6.4,1.2,1.5,0.0,1.3,2.3
60,Ben Carlson,U of U,SF,9,19.7,7.0,2.3,4.0,0.583,0.8,1.8,0.438,1.6,1.9,0.824,1.4,2.6,4.0,0.4,0.1,0.1,0.6,1.2
61,Luke House,DREX,SF,10,27.8,7.0,2.6,6.7,0.388,1.3,3.6,0.361,0.5,0.6,0.833,1.2,2.9,4.1,0.7,0.2,0.3,0.8,0.8
62,Bobby Rosenberger III,STFPA,SF,10,20.4,7.0,2.5,6.8,0.368,1.1,3.8,0.289,0.9,1.3,0.692,1.3,1.8,3.1,1.4,1.0,0.0,0.6,1.7
63,"Daniel Banister, Jr.",HMPTN,SF,8,18.3,7.0,2.4,5.4,0.442,0.4,2.5,0.15,1.9,3.3,0.577,1.1,0.6,1.8,0.5,0.8,0.3,1.3,1.5
64,Isaiah Jones,OAKL,SF,11,24.3,6.9,2.9,4.7,0.615,0.4,1.0,0.364,0.7,1.2,0.615,2.0,3.4,5.4,1.6,1.0,0.1,0.9,2.9
65,Caleb Dorsey,W&M,SF,11,25.4,6.9,2.5,6.5,0.389,1.5,3.9,0.372,0.4,0.6,0.571,1.3,5.0,6.3,1.6,0.3,0.3,1.2,2.4
66,"Donald Hand, Jr.",BOS,SF,11,17.2,6.9,2.1,5.2,0.404,1.1,2.8,0.387,1.6,2.1,0.783,0.2,1.8,2.0,0.8,0.5,0.3,0.5,0.8
67,Ticket Gaines,PROV,SF,10,29.5,6.9,2.2,5.2,0.423,1.3,4.1,0.317,1.2,1.6,0.75,0.8,3.5,4.3,1.5,0.8,0.7,0.8,2.1
68,Andrew Rohde,UVA,SF,9,26.8,6.9,2.7,6.9,0.387,1.2,3.4,0.355,0.3,0.9,0.375,0.1,2.6,2.7,3.1,0.4,0.1,1.4,0.4
69,Kwane Marble II,NIAG,SF,8,19.8,6.9,2.3,4.4,0.514,0.6,1.3,0.5,1.8,2.5,0.7,0.6,3.0,3.6,1.1,0.6,0.3,1.4,1.5
70,Brandon Muntu,WMY,SF,6,26.5,6.8,2.3,6.3,0.368,1.8,4.3,0.423,0.3,0.3,1.0,0.3,1.8,2.2,1.0,0.8,0.0,1.3,1.7
71,"A.J. Ferguson, Jr.",SOILL,SF,6,17.7,6.8,2.2,4.8,0.448,0.2,1.5,0.111,2.3,3.5,0.667,0.8,1.8,2.7,0.3,0.3,0.0,1.0,1.7
72,Jacob Conner,MARSH,SF,10,25.3,6.8,2.2,6.6,0.333,0.9,3.6,0.25,1.5,2.1,0.714,1.1,3.3,4.4,1.9,0.5,0.7,2.1,1.7
73,Taeshaud Jackson II,VMI,SF,11,27.0,6.7,2.5,5.6,0.452,0.4,1.9,0.19,1.3,2.5,0.519,3.2,7.5,10.7,1.4,0.8,0.5,1.7,2.9
74,Kobe Rodgers,C of C,SF,7,19.7,6.7,2.6,6.0,0.429,0.4,1.6,0.273,1.1,1.7,0.667,1.4,3.1,4.6,0.9,1.4,0.1,1.3,3.3
75,Andrew Welage,WRST,SF,10,16.9,6.7,2.3,4.4,0.523,1.3,2.7,0.481,0.8,1.1,0.727,0.2,1.6,1.8,1.1,0.8,0.3,1.2,0.9
76,Bralyn Smith,SIENA,SF,10,31.6,6.7,2.7,8.8,0.307,0.6,3.3,0.182,0.7,0.9,0.778,0.7,2.0,2.7,1.8,0.5,0.3,1.9,1.0
77,"Glenn Taylor, Jr.",STJ,SF,9,24.3,6.7,2.3,5.3,0.438,1.1,2.6,0.435,0.9,1.4,0.615,1.1,1.4,2.6,2.3,0.7,0.3,1.0,2.4
78,Alex Kovatchev,CSUS,SF,9,25.7,6.7,2.2,6.8,0.328,1.6,5.1,0.304,0.7,1.2,0.545,1.1,3.1,4.2,1.4,0.9,0.2,1.8,1.3
79,Sherman Brashear,UTRGV,SF,9,17.6,6.7,2.2,5.1,0.435,1.7,4.0,0.417,0.6,0.9,0.625,0.3,1.7,2.0,0.3,1.2,0.3,0.4,2.7
