,Player,Team,Pos,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
52,Ezra Manjon,VANDY,PG,7,29.6,16.1,4.9,10.6,0.459,0.7,2.1,0.333,5.7,6.3,0.909,0.4,3.1,3.6,3.9,1.4,0.0,2.3,1.1
53,Sahvir Wheeler,UWASH,PG,8,34.5,16.1,5.9,13.0,0.452,0.9,3.5,0.25,3.5,5.3,0.667,0.8,2.9,3.6,6.5,1.5,0.4,3.8,2.9
54,T.J. Madlock,ALAST,PG,9,29.2,16.1,6.1,14.4,0.423,0.7,2.3,0.286,3.2,4.6,0.707,0.6,4.7,5.2,2.4,1.9,0.3,1.3,3.0
55,Khalil Brantley,LASAL,PG,10,36.2,16.1,5.4,14.0,0.386,1.5,5.0,0.3,3.8,5.1,0.745,1.5,4.1,5.6,3.8,0.9,0.3,1.8,2.8
56,Sherif Gross-Bullock,BRYNT,PG,12,32.5,16.1,5.3,13.6,0.393,3.0,8.4,0.356,2.4,3.4,0.707,0.3,5.1,5.4,2.7,0.9,0.5,3.3,2.6
57,Ray Harrison,GCU,PG,9,33.7,15.9,4.7,12.1,0.385,0.8,3.6,0.219,5.8,6.8,0.852,0.6,3.1,3.7,3.6,1.0,0.3,2.7,2.1
58,Jordan Pope,ORST,PG,9,37.8,15.8,5.7,13.8,0.411,1.9,5.8,0.327,2.6,2.7,0.958,0.9,1.9,2.8,2.8,0.4,0.2,2.1,1.4
59,Markus Burton,ND,PG,9,31.0,15.7,5.8,13.8,0.419,0.8,3.7,0.212,3.3,3.9,0.857,1.0,2.4,3.4,3.7,1.3,0.2,4.0,2.4
60,Jhamir Brickus,LASAL,PG,10,37.6,15.6,4.9,10.5,0.467,2.2,4.7,0.468,3.6,4.4,0.818,0.4,3.2,3.6,5.3,1.6,0.1,2.3,2.5
61,"Walter Clayton, Jr.",FLA,PG,9,29.8,15.6,5.3,11.8,0.453,2.0,5.8,0.346,2.9,3.9,0.743,0.7,3.1,3.8,4.0,1.6,1.0,2.8,2.4
62,Max Shulga,VCU,PG,10,34.1,15.5,4.3,10.7,0.402,2.5,7.2,0.347,4.4,4.9,0.898,0.2,3.8,4.0,3.9,0.9,0.3,2.4,2.1
63,Jaylen Murray,MISS,PG,8,32.1,15.5,5.4,11.4,0.473,2.3,5.3,0.429,2.5,3.6,0.69,0.1,2.5,2.6,4.4,1.0,0.6,1.4,1.3
